ID,Title,Description
P0,Limited research,"Just a simple research. Web searching, AI asking and putting it all together in a dataset."
P1,Customer focus research,Who is your main customer? Who will benefit from your service? How can you deliver a value?
P2,Technical focus research,How to make what you wana make? What technologies would you use? How can they work together?
P3,Full scale research,You throw all your resources and efforts to make your product the best fit possible. It will help in a long run... probably.
P4,Essential prototype,This prototipe will just show that your idea works. It is ugly. It is buggy. But it proves the very basic concept.
P5,Service prototype,"This isn't a technical prototype. You have your landing page up and running, and you should do everything else by hand with every client."
P6,Technical prototype,"Now you know, that everything is working on the technical side. User experience? Never heard about this."
P7,Product MVP,This MVP proves everything and you can ship it to selected audience. It is well designed. Well built. And it took time and effort to make it this early.
P8,Mission only,Now your crew knows why are you doing what you are doing.
P9,Values and Strategy,Values will help your team to make important decisions. Strategy will navigate them on which decisions they should make.
P10,Values and Mission,Values will help your team to make important decisions. Mission will give them purpose to make these decisions.
P11,"Values, Mission and Strategy","You have done it all. Now your team knows why, how, and which decisions they should make. It invokes confidence."
P12,Internal testing,Your team and friends are enough to test your product. There is no need to gather the audience.
P13,Medium focus group testing,Your testing group consists of a few dozens of people both from your audience and new ones. It will help to catch criticals in your product.
P14,Real-world testing,It is relatively good idea to just put your product online and acquire some users to simply use it. If you are ready to rapidly fix all appearing problems.
P15,Cascade testing with user groups,"Full-scale testing with several stages, each bigger. You have prepared and made it all"
P16,Website building,"You definitely need a website. Anything else? Probaply, not."
P17,Social media setup,Who needs a website when you can make it all with a proper social media account?
P18,Website and Social Media,"It is often easier to gather audience via social media, but they should be landed somewhere."
P19,Full marketing commitment,"Social media, website, community hub, press releases, and contacts with influencers. You should have it all to succeed."
P20,Single server,Simple backand will be more then enough. So why bother and spend additional money on an ifrastructure? What could possibly go wrong?
P21,Cloud infrastructure,"Why should we bother to make our own server if we can use a cloud? It is a little bit more expensive, but definitely much more convenient."
P22,Multiple servers,We know how to make it on our own with all the redundancy we need to provide a consistent service to our clients.
P23,DevOPS team with an infrastructure,Infrastructure needs to be carfully planned and maintained. So we need to hire a DevOPS team to help use make this project.
P24,Self application,Just prepare all the documents and send it according to instructions on a DPG website.
P25,Contact DPG office to assist,"We can make it with the DPG office, if they are able to help."
P26,Address SDG relevance only,You have checked if your product is SDG relevant or not. If it is - so why bother? It will work anyway.
P27,DPG indicator checklist,"You have your checklist, so you go thugh all 9 indicators and prepare properly your application."
P28,Release marketing campaign,Your team is fully focused on a marketing campaign for the release. The technical side of things is not in focus.
P29,Release event,Just throw a release event to attract an audience. They will watch the stream and then they will use your product.
P30,Some release preparations,"You clearly have not enough time to make it all, but you can address the majore issues and prepare the campaign on a decent level."
P31,Full scale release preparations,"Your team is working on the release, giving attention to everything. It will take time. But since you have one, you can afford it."
P32,Essential support only,"We don't have enough resources for the full scale support, so we will do only bare essentials."
P33,Phone and email customer support,We will conduct a customer support via both phone and email.
P34,Support with LiveOPS,"We will not only make a support up and running, but also establish regular events and activities for our clients (LiveOPS)."
P35,Outsourced support,We no need our team to make a customer support. Let's hire an outsource company to make it for us!

P0,Limited water research, Quick web search about basic water consumption statistics and common conservation tips. Focus on easily accessible data without deep scientific analysis.
P1,Customer-focused water research, Conduct surveys and interviews with households to understand their water usage habits, concerns, and willingness to change behaviors. Identify pain points in current water tracking methods.
P2,Technical water research, Study hydrological databases, water footprint calculation methodologies (ISO 14046), and existing water tracking technologies. Research APIs for water data integration.
P3,Comprehensive water research, Partner with hydrologists and environmental scientists to conduct in-depth research on regional water scarcity, virtual water trade, and behavioral science behind water conservation.
P4,Essential water calculator prototype,Build a basic calculator that estimates water usage for common activities (shower, laundry, cooking). Ugly interface but functional calculations.
P5, Service prototype for water audits, Create a landing page where users can request manual water audits. Your team will conduct personalized water usage analysis for each early client.
P6, Technical water data prototype, Develop a robust backend that integrates with water utility APIs and product water footprint databases. Focus on data accuracy over user experience.
P7, Product MVP for water tracking, Build a complete mobile app with beautiful design, personalized water saving plans, progress tracking, and community features for selected beta users.
P8,Water conservation mission, Define clear mission: "Empower everyone to understand and reduce their water footprint for a sustainable water future."
P9, Values and water strategy, Establish core values (transparency, scientific accuracy, accessibility) and develop strategy for reaching different user segments (households, businesses, farmers).
P10, Values and water education mission, Combine values of water justice with educational mission to raise awareness about global and local water issues.
P11, Complete water conservation framework, Develop comprehensive framework including mission, values, strategy, and measurable impact goals for water footprint reduction.
P12, Internal water usage testing, Your team uses the app to track personal water consumption for one month. Identify basic usability issues and calculation errors.
P13, Focus group water testing,  Recruit 50 households from different water districts (varying water scarcity levels) to test the app for two weeks and provide detailed feedback.
P14, Real-world water tracking beta, Release public beta version during drought season. Allow early adopters to use the app while you rapidly fix issues based on real usage data.
P15, Cascade water testing, Multi-stage testing starting with water-conscious families, expanding to general households, then to small businesses, with adjustments at each stage.
P16, Water education website, Create informational website explaining water footprint concepts, conservation tips, and showcasing your app's features.
P17, Social media water campaign, Build presence on platforms popular with eco-conscious users. Share water saving tips, success stories, and conservation challenges.
P18, Combined digital water platform, Develop both website and social media presence, using website for detailed information and social media for engagement and community building.
P19, Full water conservation campaign,  Partner with water utilities, environmental NGOs, and local governments. Organize workshops, press coverage, and community events around water conservation.
P20, Single server setup, Basic server to handle initial user load. Cost-effective but risks downtime during peak usage or data-intensive calculations.
P21, Cloud infrastructure for water data, Use cloud services that specialize in environmental data. More expensive but scalable and reliable for water calculation processing.
P22, Multiple regional servers, Deploy servers in different geographic regions to handle local water data efficiently and provide faster response times for regional water calculations.
P23, DevOps team for water systems, Hire specialized team to manage water data infrastructure, ensure data security for sensitive water usage information, and optimize calculation performance.
P24, Self DPG water application, Independently prepare and submit application demonstrating how your app contributes to SDG 6 (Clean Water and Sanitation).
P25, DPG office consultation for water app, Work with DPG advisors who specialize in water-related digital goods to strengthen your application and ensure proper SDG 6 alignment.
P26, Basic SDG 6 relevance check, Verify that your app addresses clean water and sanitation issues, but don't pursue full DPG certification yet.
P27, Complete DPG water checklist, Systematically address all 9 DPG indicators specifically for water conservation impact, open licensing, and sustainability.
P28, World Water Day campaign, Time your launch with World Water Day (March 22). Run intensive marketing campaign highlighting global water issues and your app's solutions.
P29, Water conservation event launch, Host virtual or physical event featuring water experts, environmental activists, and early users sharing their water saving success stories.
P30, Minimum viable launch, Release core features for water tracking with basic educational content. Plan to add advanced features based on user feedback.
